params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.964377165804443,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",2.9498333807806034,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",3.05329209825436,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",3.0549503615935265,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",3.1386337601574326,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",3.62422967400326,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6}",3.8877157120451358,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7}",4.040195140442663,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8}",2.3596026360044107,100,0.024999999999999994,0.025,0.025,0.025,6.938893903907228e-18
"{""discount_factor"": 0.9}",2.080941525073669,100,0.024999999999999994,0.025,0.025,0.025,6.938893903907228e-18
