params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",1.5796721531824538,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",0.43243671829987207,100,0.125,0.125,0.125,0.125,0.0
"{""discount_factor"": 0.2}",0.4418803618880336,100,0.125,0.125,0.125,0.125,0.0
"{""discount_factor"": 0.3}",0.41952892030896916,100,0.125,0.125,0.125,0.125,0.0
"{""discount_factor"": 0.4}",0.4219011581413863,100,0.125,0.125,0.125,0.125,0.0
"{""discount_factor"": 0.5}",0.4127444635827704,100,0.125,0.125,0.125,0.125,0.0
"{""discount_factor"": 0.6}",0.48296315649973565,100,0.125,0.125,0.125,0.125,0.0
"{""discount_factor"": 0.7}",0.4201262273678381,100,0.125,0.125,0.125,0.125,0.0
"{""discount_factor"": 0.8}",0.42160476999902663,100,0.125,0.125,0.125,0.125,0.0
"{""discount_factor"": 0.9}",0.43422524139587004,100,0.125,0.125,0.125,0.125,0.0
