steps,time,reward,delta,converged
1,0.03443879188398569,0.0,0,False
2,0.03218473174365499,0.0,0,False
3,0.03337103944249975,0.0,0,False
4,0.03248980387070333,0.0,0,False
5,0.03224438693723641,0.0,0,False
6,0.03509273362033127,0.0,0,False
7,0.03251736607944622,0.0,0,False
8,0.031736185103000025,0.0,0,False
9,0.03255134688606631,0.0,0,False
10,0.03264611557824537,0.0,0,False
11,0.03231159342067258,0.0,0,False
12,0.03171768444190093,0.0,0,False
13,0.03195970329488773,0.0,0,False
14,0.031097345947273425,0.0,0,False
15,0.03228780685549282,0.0,0,False
16,0.03171579662011936,0.0,0,False
17,0.03365345769816486,0.0,0,False
18,0.032467905128214625,0.0,0,False
19,0.03202993029481149,0.0,0,False
20,0.03127782178489724,0.0,0,False
21,0.03162593626529997,0.0,0,False
22,0.03203181811659306,0.0,0,False
23,0.03219643624379387,0.0,0,False
24,0.03299460762355011,0.0,0,False
25,0.03237275887204305,0.0,0,False
26,0.0323833306774759,0.0,0,False
27,0.03203597132687719,0.0,0,False
28,0.03213829130891099,0.0,0,False
29,0.03244940446711553,0.0,0,False
30,0.032378422339206736,0.0,0,False
31,0.0316765299103281,0.0,0,False
32,0.03313657188027719,0.0,0,False
33,0.03219454842110281,0.0,0,False
34,0.03162140549193282,0.0,0,False
35,0.03278845739987446,0.0,0,False
36,0.03175544089299365,0.0,0,False
37,0.03272578169071494,0.0,0,False
38,0.03464909531703597,0.0,0,False
39,0.03280997857746115,0.0,0,False
40,0.0320238892618363,0.0,0,False
41,0.0321043105022909,0.0,0,False
42,0.032217957420471066,0.0,0,False
43,0.03082814245044574,0.0,0,False
44,0.03090667586911877,0.0,0,False
45,0.030472099115286255,0.0,0,False
46,0.030983699030002754,0.0,0,False
47,0.03280733562587557,0.0,0,False
48,0.032589858466053556,0.0,0,False
49,0.03041206635771232,0.0,0,False
50,0.030625767871242715,0.0,0,False
51,0.031083376061360468,0.0,0,False
52,0.03159346571737842,0.0,0,False
53,0.03170107160349289,0.0,0,False
54,0.032112616921949666,0.0,0,False
55,0.032058625196441426,0.0,0,False
56,0.03592715119339118,0.0,0,False
57,0.03178942169961374,0.0,0,False
58,0.030594052453125187,0.0,0,False
59,0.03198915332723118,0.0,0,False
60,0.0314035507672088,0.0,0,False
61,0.03218322148677544,0.0,0,False
62,0.032751833642578276,0.0,0,False
63,0.034100494081030774,0.0,0,False
64,0.03909189693695225,0.0,0,False
65,0.03301122046286764,0.0,0,False
66,0.03228780685640231,0.0,0,False
67,0.031824912764022883,0.0,0,False
68,0.03158817981420725,0.0,0,False
69,0.030971994529863878,0.0,0,False
70,0.03144961363796028,0.0,0,False
71,0.03388868039019144,0.0,0,False
72,0.03179697299037798,0.0,0,False
73,0.035409887810601504,0.0,0,False
74,0.031901180795102846,0.0,0,False
75,0.03078019175791269,0.0,0,False
76,0.03237540182271914,0.0,0,False
77,0.032353880646041944,0.0,0,False
78,0.031022588174892007,0.0,0,False
79,0.03422622306334233,0.0,0,False
80,0.030967841320489242,0.0,0,False
81,0.03179961594105407,0.0,0,False
82,0.03182113711864076,0.0,0,False
83,0.031856628183049907,0.0,0,False
84,0.03126196407538373,0.0,0,False
85,0.031849076892285666,0.0,0,False
86,0.03195819303709868,0.0,0,False
87,0.030424148422753206,0.0,0,False
88,0.033624762794715934,0.0,0,False
89,0.03180867748960736,0.0,0,False
90,0.031721082523290534,0.0,0,False
91,0.030961422723521537,0.0,0,False
92,0.03245091472581407,0.0,0,False
93,0.030711852580679988,0.0,0,False
94,0.031563260557049944,0.0,0,False
95,0.0314903906055406,0.0,0,False
96,0.032267418372612156,0.0,0,False
97,0.03234104345301603,0.0,0,False
98,0.03245431280629418,0.0,0,False
99,0.04537154990975978,0.0,0,False
100,0.03354509668315586,0.0,0,False
101,0.03194195776268316,0.0,0,False
102,0.03398156125876994,0.0,0,False
103,0.03703114982727129,0.0,0,False
104,0.03325550470253802,0.0,0,False
105,0.03152399384725868,0.0,0,False
106,0.03141638796114421,0.0,0,False
107,0.03196989753632806,0.0,0,False
108,0.031584404169734626,0.0,0,False
109,0.03047172155129374,0.0,0,False
110,0.031009750980956596,0.0,0,False
111,0.03090667586911877,0.0,0,False
112,0.03168559145888139,0.0,0,False
113,0.03139222383197193,0.0,0,False
114,0.03111471391548548,0.0,0,False
115,0.03125365765663446,0.0,0,False
116,0.03062425761436316,0.0,0,False
117,0.030737526967641315,0.0,0,False
118,0.030971616964961868,0.0,0,False
119,0.030622369790762605,0.0,0,False
120,0.030673341000692744,0.0,0,False
121,0.03441311749702436,0.0,0,False
122,0.0329602492529375,0.0,0,False
123,0.03125365765663446,0.0,0,False
124,0.030592164630434127,0.0,0,False
125,0.03078547766108386,0.0,0,False
126,0.03440858672365721,0.0,0,False
127,0.03276542596449872,0.0,0,False
128,0.03158855737910926,0.0,0,False
129,0.03197782639199431,0.0,0,False
130,0.030833805917609425,0.0,0,False
131,0.03032220600380242,0.0,0,False
132,0.030783967402385315,0.0,0,False
133,0.03168521389397938,0.0,0,False
134,0.031023720867779048,0.0,0,False
135,0.030294266229248024,0.0,0,False
136,0.03570967403356917,0.0,0,False
137,0.03218624200235354,0.0,0,False
138,0.03165387603985437,0.0,0,False
139,0.031420541170518845,0.0,0,False
140,0.03021233473009488,0.0,0,False
141,0.031536831040284596,0.0,0,False
142,0.031270270495042496,0.0,0,False
143,0.030910073949598882,0.0,0,False
144,0.03175883897438325,0.0,0,False
145,0.031181165270027122,0.0,0,False
146,0.0312578108650996,0.0,0,False
147,0.03025802003685385,0.0,0,False
148,0.031183053092718183,0.0,0,False
149,0.030924421401323343,0.0,0,False
150,0.031121132512453187,0.0,0,False
151,0.03169805108791479,0.0,0,False
152,0.03213300540573982,0.0,0,False
153,0.03170031647459837,0.0,0,False
154,0.03254606098289514,0.0,0,False
155,0.030867409160237003,0.0,0,False
156,0.032251938228000654,0.0,0,False
157,0.03116568512541562,0.0,0,False
158,0.030822856548184063,0.0,0,False
159,0.031236289688422403,0.0,0,False
160,0.031103009415346605,0.0,0,False
161,0.030994648401247105,0.0,0,False
162,0.03045586384178023,0.0,0,False
163,0.03281601960861735,0.0,0,False
164,0.03199745974598045,0.0,0,False
165,0.031030139464746753,0.0,0,False
166,0.03160894586289942,0.0,0,False
167,0.031223452495396486,0.0,0,False
168,0.031091682481019234,0.0,0,False
169,0.032738241318838845,0.0,0,False
170,0.03128763846234506,0.0,0,False
171,0.03177054347452213,0.0,0,False
172,0.03313128597710602,0.0,0,False
173,0.03213640348712943,0.0,0,False
174,0.03144357260589459,0.0,0,False
175,0.031883812827800284,0.0,0,False
176,0.031404683461005334,0.0,0,False
177,0.03088553225643409,0.0,0,False
178,0.032045410439422994,0.0,0,False
179,0.031425071945704985,0.0,0,False
180,0.031193624899060524,0.0,0,False
181,0.031854362795456836,0.0,0,False
182,0.03136881483169418,0.0,0,False
183,0.030870807240717113,0.0,0,False
184,0.03223985616295977,0.0,0,False
185,0.031589690072905796,0.0,0,False
186,0.03181547365147708,0.0,0,False
187,0.033210574524673575,0.0,0,False
188,0.0313571103324648,0.0,0,False
189,0.03206315597071807,0.0,0,False
190,0.031883812827800284,0.0,0,False
191,0.03168710171667044,0.0,0,False
192,0.031104142110052635,0.0,0,False
193,0.031381274461637076,0.0,0,False
194,0.030382238761376357,0.0,0,False
195,0.03071940387144423,0.0,0,False
196,0.03191401798812876,0.0,0,False
197,0.031481706621889316,0.0,0,False
198,0.031516064992501924,0.0,0,False
199,0.03147302263732854,0.0,0,False
200,0.030333910503031802,0.0,0,True
