episode,length,time,reward,delta
0,500.0,0.03552164690609061,0.0,-4.074979861412169e-05
1,500.0,0.03203295081038959,0.0,-3.282989831618181e-05
2,500.0,0.03189174168255704,0.0,-0.0006418234498473138
3,500.0,0.03193855968220305,0.0,-3.294196126501532e-05
4,500.0,0.032149240680155344,0.0,-2.294177378887134e-05
5,500.0,0.03238823901665455,0.0,-1.3981310324802138e-05
6,500.0,0.03202842003611295,0.0,-2.4337636736701486e-05
7,500.0,0.03260873669205466,0.0,-1.956465893996923e-05
8,500.0,0.031454899541131454,0.0,-6.092717778315561e-05
9,500.0,0.030682024984344025,0.0,-5.029270533483027e-05
10,500.0,0.031826800586713944,0.0,-4.50870022015062e-05
11,500.0,0.03053024405016913,0.0,-4.3807098589003913e-05
12,500.0,0.031021455480185978,0.0,-7.242781063128867e-05
13,500.0,0.03308824362284213,0.0,-7.667912287574958e-05
14,500.0,0.03158289391103608,0.0,-4.615688354417803e-05
15,500.0,0.03073639427384478,0.0,-7.768459133124261e-05
16,500.0,0.03366856027878384,0.0,-4.579574560556883e-05
17,500.0,0.031627068959096505,0.0,-4.2483791623055525e-05
18,500.0,0.03170031647459837,0.0,-3.6021224639798475e-05
19,500.0,0.03243505701630056,0.0,-3.524492591738625e-05
20,144.0,0.009296015863583307,1.0,0.9997507757208259
21,277.0,0.017790839831832272,1.0,0.8997756981487434
22,145.0,0.009147633009888523,1.0,0.8097981283338691
23,230.0,0.014576633136130113,1.0,0.7288183155004822
24,123.0,0.007738184684967564,1.0,0.6559364839504339
25,111.0,0.006984565918173757,1.0,0.5903428355553906
26,124.0,0.008255825631749758,1.0,0.5313085519998515
27,130.0,0.008310572486152523,1.0,0.4781776967998663
28,120.0,0.007735919298283989,1.0,0.4303599271198797
29,123.0,0.00795717210166913,1.0,0.3873239344078917
30,119.0,0.007709112217526126,1.0,0.34859154096710254
31,111.0,0.00726849443071842,1.0,0.3137323868703923
32,141.0,0.008925625077608856,1.0,0.28235914818335306
33,163.0,0.010202170693446533,1.0,0.25412323336501774
34,160.0,0.010725852672294423,1.0,0.22871091002851596
35,153.0,0.01212397406288801,1.0,0.2058398190256644
36,182.0,0.011670896647956397,1.0,0.1852558371230979
37,182.0,0.011829851307084027,1.0,0.16673025341078807
38,181.0,0.011766420469939476,1.0,0.15005722806970923
39,179.0,0.011363936699126498,1.0,0.13505150526273835
40,179.0,0.011505900955853576,1.0,0.12154635473646447
41,179.0,0.011623323518506368,1.0,0.10939171926281799
42,166.0,0.010500824223527161,1.0,0.09845254733653619
43,202.0,0.012702402896138665,1.0,0.08860729260288258
44,212.0,0.013461307567013137,1.0,0.07974656334259433
45,164.0,0.010715280865952082,1.0,0.07177190700833491
46,500.0,0.03229384788846801,0.0,-2.470991089716169e-05
47,189.0,0.012244039578035881,1.0,0.06459471630750147
48,264.0,0.017837657831478282,1.0,0.05813524467675135
49,310.0,0.019794197135524882,1.0,0.05232172020907622
50,191.0,0.012314266577050148,1.0,0.04708954818816857
51,245.0,0.015773890205309726,1.0,0.04238059336935174
52,198.0,0.012927808910717431,1.0,0.03814253403241652
53,212.0,0.014145454463687201,1.0,0.03432828062917492
