params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""epsilon_decay"": 0.0001, ""alpha"": 0.1, ""discount_factor"": 0.0, ""q_init"": ""random"", ""epsilon"": 0.1}",9.7551784860716,100,0.0,0.0,0.0,0.0,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.1, ""discount_factor"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1}",10.553789728282027,100,0.024999999999999994,0.025,0.025,0.025,6.938893903907228e-18
"{""epsilon_decay"": 0.0001, ""alpha"": 0.1, ""discount_factor"": 0.2, ""q_init"": ""random"", ""epsilon"": 0.1}",9.51952725902538,100,0.024999999999999994,0.025,0.025,0.025,6.938893903907228e-18
"{""epsilon_decay"": 0.0001, ""alpha"": 0.1, ""discount_factor"": 0.3, ""q_init"": ""random"", ""epsilon"": 0.1}",8.636558665595658,100,0.024999999999999994,0.025,0.025,0.025,6.938893903907228e-18
"{""epsilon_decay"": 0.0001, ""alpha"": 0.1, ""discount_factor"": 0.4, ""q_init"": ""random"", ""epsilon"": 0.1}",8.35982690932451,100,0.024999999999999994,0.025,0.025,0.025,6.938893903907228e-18
"{""epsilon_decay"": 0.0001, ""alpha"": 0.1, ""discount_factor"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1}",8.799355044298864,100,0.024999999999999994,0.025,0.025,0.025,6.938893903907228e-18
"{""epsilon_decay"": 0.0001, ""alpha"": 0.1, ""discount_factor"": 0.6, ""q_init"": ""random"", ""epsilon"": 0.1}",7.780198553625269,100,0.024999999999999994,0.025,0.025,0.025,6.938893903907228e-18
"{""epsilon_decay"": 0.0001, ""alpha"": 0.1, ""discount_factor"": 0.7, ""q_init"": ""random"", ""epsilon"": 0.1}",7.885744825289294,100,0.024999999999999994,0.025,0.025,0.025,6.938893903907228e-18
"{""epsilon_decay"": 0.0001, ""alpha"": 0.1, ""discount_factor"": 0.8, ""q_init"": ""random"", ""epsilon"": 0.1}",8.2219176954668,100,0.024999999999999994,0.025,0.025,0.025,6.938893903907228e-18
"{""epsilon_decay"": 0.0001, ""alpha"": 0.1, ""discount_factor"": 0.9, ""q_init"": ""random"", ""epsilon"": 0.1}",7.554485957242832,100,0.024999999999999994,0.025,0.025,0.025,6.938893903907228e-18
"{""epsilon_decay"": 0.0001, ""alpha"": 0.1, ""discount_factor"": 0.0, ""q_init"": ""random"", ""epsilon"": 0.3}",36.551055406082014,100,0.0,0.0,0.0,0.0,0.0
