steps,time,reward,delta,converged
1,0.027280168726065313,0.0026455026455026454,0.9995579288703186,False
2,0.007283219447344891,0.009259259259259259,0.9995579288703186,False
3,0.02895315708065027,0.0027247956403269754,0.9995579288703186,False
4,0.005782022944913479,0.010526315789473684,0.9995579288703186,False
5,0.018661503597286355,0.003257328990228013,0.9995579288703186,False
6,0.01302220003799448,0.00510204081632653,0.9995579288703186,False
7,0.005929273105721222,0.010416666666666666,0.9995579288703186,False
8,0.0028944095538463444,0.024390243902439025,0.9995579288703186,False
9,0.00779595205494843,0.008,0.9995579288703186,False
10,0.006652309146375046,0.009708737864077669,0.9995579288703186,False
11,0.002708647813051357,0.022727272727272728,0.9995579288703186,False
12,0.0022823774788776063,0.027777777777777776,0.9995579288703186,False
13,0.003385998548765201,0.018867924528301886,0.9995579288703186,False
14,0.0032440342920381227,0.019230769230769232,0.9995579288703186,False
15,0.00796359069954633,0.008333333333333333,0.9995579288703186,False
16,0.004399759264742897,0.014492753623188406,0.9995579288703186,False
17,0.0027354548938092194,0.023255813953488372,0.9995579288703186,False
18,0.0021377702705649426,0.030303030303030304,0.9995579288703186,False
19,0.004807151373825036,0.013157894736842105,0.9995579288703186,False
20,0.00221366073765239,0.02857142857142857,0.9995579288703186,False
21,0.0018289224990439834,0.034482758620689655,0.9995579288703186,False
22,0.006048583491065074,0.010638297872340425,0.9995579288703186,False
23,0.0021528728502744343,0.029411764705882353,0.9995579288703186,False
24,0.0014279489869295503,0.045454545454545456,0.9995579288703186,False
25,0.001317322584327485,0.05,0.9995579288703186,False
26,0.0023057864782458637,0.02702702702702703,0.9995579288703186,False
27,0.0015151663892538636,0.043478260869565216,0.9995579288703186,False
28,0.002710535635742417,0.02631578947368421,0.9995579288703186,False
29,0.0036106494335399475,0.019230769230769232,0.9995579288703186,False
30,0.0011976346340816235,0.05555555555555555,0.9995579288703186,False
31,0.001336955938313622,0.047619047619047616,0.9995579288703186,False
32,0.0015015740664239274,0.041666666666666664,0.9995579288703186,False
33,0.0011228768607907114,0.058823529411764705,0.9995579288703186,False
34,0.003731470077582344,0.017241379310344827,0.9995579288703186,False
35,0.00200524512638367,0.03225806451612903,0.9995579288703186,False
36,0.0012191558116683154,0.05,0.9995579288703186,False
37,0.0009873312010313384,0.0625,0.9995579288703186,False
38,0.0011889506504303426,0.05263157894736842,0.9995579288703186,False
39,0.0024428423967037816,0.025,0.9995579288703186,False
40,0.0011175909567100462,0.05555555555555555,0.9995579288703186,False
41,0.001622772274458839,0.045454545454545456,0.9995579288703186,False
42,0.001350170697151043,0.05,0.9995579288703186,False
