steps,time,reward,delta,converged
1,0.03390869130862484,0.0,0,False
2,0.033172440509133594,0.0,0,False
3,0.03234746204907424,0.0,0,False
4,0.03314374560613942,0.0,0,False
5,0.03172221521663232,0.0,0,False
6,0.03224174398565083,0.0,0,False
7,0.03292362549518657,0.0,0,False
8,0.03276202788401861,0.0,0,False
9,0.032327828694633354,0.0,0,False
10,0.03322152389546318,0.0,0,False
11,0.032883226092508266,0.0,0,False
12,0.03244676151598469,0.0,0,False
13,0.031321996832957666,0.0,0,False
14,0.03244260830615531,0.0,0,False
15,0.03188985385986598,0.0,0,False
16,0.03277146699656441,0.0,0,False
17,0.03221380421155118,0.0,0,False
18,0.03281413178683579,0.0,0,False
19,0.03151191178267254,0.0,0,False
20,0.03200727642297352,0.0,0,False
21,0.03194233532713042,0.0,0,False
22,0.03199783731042771,0.0,0,False
23,0.031779605022165924,0.0,0,False
24,0.0317339197158617,0.0,0,False
25,0.03227496966292165,0.0,0,False
26,0.03224854014661105,0.0,0,False
27,0.03056988832395291,0.0,0,False
28,0.031533810524706496,0.0,0,False
29,0.032284408775467455,0.0,0,False
30,0.03219681380869588,0.0,0,False
31,0.03221946767916961,0.0,0,False
32,0.03469968896251885,0.0,0,False
33,0.032568714853368874,0.0,0,False
34,0.03203030785880401,0.0,0,False
35,0.031113958786590956,0.0,0,False
36,0.031052415770773223,0.0,0,False
37,0.031516442557403934,0.0,0,False
38,0.031708622893802385,0.0,0,False
39,0.03135371225198469,0.0,0,False
40,0.033432204893415474,0.0,0,False
41,0.03243014867757665,0.0,0,False
42,0.03182717815070646,0.0,0,False
43,0.03185549548925337,0.0,0,False
44,0.032304042130363086,0.0,0,False
45,0.03196838727853901,0.0,0,False
46,0.03139260139687394,0.0,0,False
47,0.03229573571115907,0.0,0,False
48,0.03237615695206841,0.0,0,False
49,0.03134880391326078,0.0,0,False
50,0.032300266484980966,0.0,0,False
51,0.031394489219565,0.0,0,False
52,0.031235156995080615,0.0,0,False
53,0.03151719768629846,0.0,0,False
54,0.03150549318615958,0.0,0,False
55,0.032137158615569206,0.0,0,False
56,0.03244185317726078,0.0,0,False
57,0.03217831314759678,0.0,0,False
58,0.03144395017034185,0.0,0,False
59,0.03120457426939538,0.0,0,False
60,0.03195781547219667,0.0,0,False
61,0.03229762353339538,0.0,0,False
62,0.03387810858339435,0.0,0,False
63,0.03236483001683155,0.0,0,False
64,0.03173391971631645,0.0,0,False
65,0.03534305889206735,0.0,0,False
66,0.03163915102368264,0.0,0,False
67,0.03183095379608858,0.0,0,False
68,0.032494712209427234,0.0,0,False
69,0.03231725688829101,0.0,0,False
70,0.032823948463828856,0.0,0,False
71,0.03239541274251678,0.0,0,False
72,0.03208996305193068,0.0,0,False
73,0.030686933323067933,0.0,0,False
74,0.032117902825575584,0.0,0,False
75,0.030910073949598882,0.0,0,False
76,0.030677871774514642,0.0,0,False
77,0.032442230741708045,0.0,0,False
78,0.03191741606906362,0.0,0,False
79,0.03295987168849024,0.0,0,False
80,0.03182717815070646,0.0,0,False
81,0.0332502187989121,0.0,0,False
82,0.032089963051475934,0.0,0,False
83,0.03126498459141658,0.0,0,False
84,0.03180603453802178,0.0,0,False
85,0.03146471621903402,0.0,0,False
86,0.033323843878861226,0.0,0,False
87,0.032448649338221,0.0,0,False
88,0.03205522711641606,0.0,0,False
89,0.032459598709465354,0.0,0,False
90,0.03242939354822738,0.0,0,False
91,0.03215905735760316,0.0,0,False
92,0.032041634794040874,0.0,0,False
93,0.033750491777936986,0.0,0,False
94,0.0328050702382825,0.0,0,False
95,0.03247432372518233,0.0,0,False
96,0.03246224166105094,0.0,0,False
97,0.032711056674543215,0.0,0,False
98,0.03362778331120353,0.0,0,False
99,0.032640074546179676,0.0,0,False
100,0.032265530549921095,0.0,0,False
101,0.032580419353053,0.0,0,False
102,0.033602864053591475,0.0,0,False
103,0.03300631212323424,0.0,0,False
104,0.03164934526557772,0.0,0,False
105,0.031079222851531085,0.0,0,False
106,0.03204805339055383,0.0,0,False
107,0.03209600408399638,0.0,0,False
108,0.0321262092447796,0.0,0,False
109,0.03137334560642557,0.0,0,False
110,0.03228705172705304,0.0,0,False
111,0.031800371070403344,0.0,0,False
112,0.031602904830378975,0.0,0,False
113,0.03147717584761267,0.0,0,False
114,0.031984622552499786,0.0,0,False
115,0.031713908796973556,0.0,0,False
116,0.03268462715914211,0.0,0,False
117,0.03125101470459413,0.0,0,False
118,0.031958193036643934,0.0,0,False
119,0.032555122530993685,0.0,0,False
120,0.032256469001367805,0.0,0,False
121,0.03105883436774093,0.0,0,False
122,0.03159308815293116,0.0,0,False
123,0.032855286318408616,0.0,0,False
124,0.03252416224086119,0.0,0,False
125,0.031513044476469076,0.0,0,False
126,0.031818116602607915,0.0,0,False
127,0.031538718863430404,0.0,0,False
128,0.031455277106033463,0.0,0,False
129,0.0316935203131834,0.0,0,False
130,0.031595731104516744,0.0,0,False
131,0.035481247503412305,0.0,0,False
132,0.03185096471543147,0.0,0,False
133,0.03157798557231217,0.0,0,False
134,0.03170107160349289,0.0,0,False
135,0.03226666324326288,0.0,0,False
136,0.032478854499458976,0.0,0,False
137,0.03245431280629418,0.0,0,False
138,0.03230592995305415,0.0,0,False
139,0.03219341572776102,0.0,0,False
