step,reward,mean,median,std,max,min
0,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
1,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
2,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
3,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
4,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
5,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
6,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
7,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
8,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
9,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
10,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
11,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
12,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
13,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
14,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
15,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
16,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
17,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
18,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
19,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
20,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
21,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
22,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
23,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
24,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
25,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
26,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
27,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
28,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
29,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
30,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
31,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
32,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
33,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
34,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
35,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
36,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
37,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
38,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
39,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
40,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
41,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
42,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
43,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
44,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
45,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
46,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
47,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
48,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
49,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
50,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
51,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
52,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
53,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
54,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
55,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
56,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
57,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
58,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
59,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
60,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
61,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
62,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
63,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
64,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
65,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
66,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
67,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
68,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
69,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
70,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
71,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
72,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
73,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
74,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
75,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
76,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
77,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
78,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
79,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
80,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
81,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
82,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
83,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
84,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
85,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
86,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
87,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
88,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
89,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
90,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
91,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
92,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
93,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
94,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
95,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
96,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
97,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
98,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
99,0.03125,0.03125,0.03125,0.0,0.03125,0.03125
