params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""epsilon_decay"": 0.0001, ""alpha"": 0.1, ""discount_factor"": 0.0, ""q_init"": ""random"", ""epsilon"": 0.1}",13.88475975947631,100,0.0,0.0,0.0,0.0,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.1, ""discount_factor"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.1}",1.5039897242043025,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.1, ""discount_factor"": 0.2, ""q_init"": ""random"", ""epsilon"": 0.1}",1.3743869296226876,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.1, ""discount_factor"": 0.3, ""q_init"": ""random"", ""epsilon"": 0.1}",1.3934932042161563,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.1, ""discount_factor"": 0.4, ""q_init"": ""random"", ""epsilon"": 0.1}",1.4029077753370984,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.1, ""discount_factor"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1}",1.3285188823788303,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.1, ""discount_factor"": 0.6, ""q_init"": ""random"", ""epsilon"": 0.1}",1.381283900573635,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.1, ""discount_factor"": 0.7, ""q_init"": ""random"", ""epsilon"": 0.1}",1.3865984986523472,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.1, ""discount_factor"": 0.8, ""q_init"": ""random"", ""epsilon"": 0.1}",1.4075227463740703,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.1, ""discount_factor"": 0.9, ""q_init"": ""random"", ""epsilon"": 0.1}",1.640452110849992,100,0.125,0.125,0.125,0.125,0.0
