episode,length,time,reward,delta
0,44.0,0.003322567710540625,1.0,0.9998305393706868
1,12.0,0.000923145233230116,1.0,0.899847485433618
2,24.0,0.0015865260817804483,1.0,0.9993597567990783
3,17.0,0.0013984989545008375,1.0,0.8994237811191705
4,17.0,0.0016137107266729345,1.0,0.8094814030072535
5,97.0,0.007068385239648478,1.0,0.7285332627065282
6,30.0,0.001987499594122255,1.0,0.8098627368902562
7,38.0,0.002600664362518046,1.0,0.7288764632012306
8,45.0,0.0029786064395977974,1.0,0.6559888168811076
9,76.0,0.005097876048580474,1.0,0.6556799364358753
10,15.0,0.0011191012152380608,1.0,0.5903899351929968
11,22.0,0.0014438066960167362,1.0,0.5901119427922877
12,64.0,0.005687254252705998,1.0,0.531100748513059
13,8.0,0.0006679116227132909,1.0,0.531350941673697
14,15.0,0.0011995224564032014,1.0,0.4779906736617531
15,38.0,0.0046587685204713125,1.0,0.43019160629557773
16,30.0,0.002363931413157161,1.0,0.38717244566601994
17,52.0,0.005577005415034364,1.0,0.34845520109941797
18,8.0,0.0010632216673798212,1.0,0.4782158475063274
19,34.0,0.005042751629758868,1.0,0.31360968098947617
20,28.0,0.0036804988684195905,1.0,0.28224871289052855
21,13.0,0.0018587500953515246,1.0,0.4303942627556947
22,27.0,0.0023933814451027047,1.0,0.25402384160147573
23,69.0,0.0054829918514087694,1.0,0.2286214574413281
24,17.0,0.001898394369163725,1.0,0.2057593116971953
25,9.0,0.0007022699933543208,1.0,0.18518338052747574
26,72.0,0.0054829918514087694,1.0,0.16666504247472813
27,14.0,0.0010016786518178833,1.0,0.38735483648012525
28,38.0,0.0027596190222993755,1.0,0.14999853822725528
29,58.0,0.004088646106538363,1.0,0.13499868440452978
30,7.0,0.0005584179140782908,1.0,0.34861935283211276
31,31.0,0.002268030026954193,1.0,0.3137574175489015
32,24.0,0.0016401402425856304,1.0,0.12149881596407686
33,83.0,0.006879225418856549,1.0,0.2823816757940114
34,13.0,0.0010934268283904203,1.0,0.10934893436766913
35,23.0,0.0016303235652230796,1.0,0.09841404093090222
36,51.0,0.0034501845157990374,1.0,0.08857263683781202
37,54.0,0.0035555250148036066,1.0,0.07971537315403077
38,25.0,0.0017145204515429668,1.0,0.07174383583862765
39,53.0,0.0037118367229709293,1.0,0.06456945225476485
40,10.0,0.0007407815736542034,1.0,0.2541435082146103
41,60.0,0.004267989249967741,1.0,0.22872915739314925
42,18.0,0.0013339354228776301,1.0,0.058112507029288385
43,91.0,0.006037256555856629,1.0,0.20585624165383432
44,8.0,0.0006025929620534498,1.0,0.05230125632635951
45,28.0,0.0018968841110904577,1.0,0.047071130693723595
46,63.0,0.004989137468953686,1.0,0.18527061748845086
47,34.0,0.0022159261241938566,1.0,0.04236401762435127
48,42.0,0.002726015780694979,1.0,0.16674355573960575
49,9.0,0.0006437474939104959,1.0,0.03812761586191615
50,106.0,0.007246973254069644,1.0,0.15006920016564518
51,34.0,0.0025096713149821426,1.0,0.03431485427572456
52,61.0,0.00516810304790738,1.0,0.030883368848152126
53,33.0,0.002220834462889343,1.0,0.13506228014908062
54,75.0,0.005987040475673666,1.0,0.02779503196333688
55,28.0,0.0027105356356855737,1.0,0.12155605213417253
56,42.0,0.0039398856885668465,1.0,0.025015528767003192
57,59.0,0.004564754956845718,1.0,0.022513975890302906
58,50.0,0.0034399902739323807,1.0,0.10940044692075523
59,97.0,0.007162021238769967,1.0,0.02026257830127265
60,33.0,0.002388850670968168,1.0,0.09846040222867969
61,28.0,0.0021743940278327045,1.0,0.01823632047114543
62,30.0,0.002056216335404315,1.0,0.08861436200581174
63,35.0,0.002467006525080251,1.0,0.016412688424030875
64,42.0,0.0029989949232458457,1.0,0.07975292580523052
65,11.0,0.0008536733629114224,1.0,0.014771419581627754
66,135.0,0.009428163443146786,1.0,0.07177763322470743
67,10.0,0.0007743848152870214,1.0,0.013294277623465023
68,73.0,0.005489032883588152,1.0,0.06459986990223665
69,27.0,0.0022903063332080364,1.0,0.011964849861118565
70,86.0,0.008020602940320032,1.0,0.010768364875006764
71,9.0,0.0011277851990030285,1.0,0.058139882912013
72,91.0,0.006676473275604167,1.0,0.009691528387506088
73,28.0,0.001887822562821384,1.0,0.05232589462081172
74,16.0,0.0011425102150042221,1.0,0.008722375548755434
75,76.0,0.005025006097667983,1.0,0.04709330515873056
76,31.0,0.0020709413514055086,1.0,0.007850137993879902
77,45.0,0.0031602149701370763,1.0,0.04238397464285748
78,8.0,0.0005470909786993161,1.0,0.007065124194491901
79,74.0,0.005072956790769467,1.0,0.0381455771785717
80,17.0,0.0011451531665898074,1.0,0.006358611775042711
81,136.0,0.009290352396050139,1.0,0.005722750597538462
82,26.0,0.001888577691829596,1.0,0.034331019460714485
83,17.0,0.0011640313922214318,1.0,0.005150475537784582
84,60.0,0.003859464447373284,1.0,0.00463542798400618
85,14.0,0.0009405132007884731,1.0,0.030897917514642992
86,45.0,0.0029820045201915946,1.0,0.027808125763178704
87,32.0,0.002354869864831244,1.0,0.004171885185605517
88,128.0,0.009562953974125321,1.0,0.0037546966670449766
89,8.0,0.0006052359136390351,1.0,0.0250273131868608
90,65.0,0.004499813860689983,1.0,0.0033792270003404346
91,62.0,0.0043231136688177685,1.0,0.022524581868174742
92,28.0,0.0018927309014884486,1.0,0.003041304300306358
93,46.0,0.002946135891505719,1.0,0.020272123681357224
94,52.0,0.003438857580391641,1.0,0.002737173870275722
95,45.0,0.0030881001482327974,1.0,0.0024634564832481942
96,23.0,0.001553300404680158,1.0,0.01824491131322148
97,46.0,0.003240258646798111,1.0,0.016420420181899376
98,29.0,0.00226614220437682,1.0,0.002217110834923375
99,34.0,0.002558754701624366,1.0,0.0019953997514310373
100,45.0,0.0031930630827332607,1.0,0.014778378163709416
101,65.0,0.0044461996999132225,1.0,0.0017958597762879336
102,60.0,0.004237028959977351,1.0,0.0016162737986591402
103,39.0,0.0026893920229440482,1.0,0.013300540347338519
104,50.0,0.0041071467676374596,1.0,0.0014546464187932262
105,54.0,0.003856066366779487,1.0,0.011970486312604667
106,65.0,0.004519069650825713,1.0,0.0013091817769138592
107,82.0,0.006573775728185183,1.0,0.0107734376813442
108,35.0,0.002323532010308327,1.0,0.0011782635992224622
109,22.0,0.0014487150346838007,1.0,0.009696093913209802
110,8.0,0.0005969294943497516,1.0,0.0010604372393001604
111,118.0,0.007485971590512008,1.0,0.0009543935153701888
112,27.0,0.0017964519507813748,1.0,0.008726484521888844
113,26.0,0.0017084794193351627,1.0,0.0008589541638331921
114,72.0,0.004613083214451308,1.0,0.007853836069699915
115,53.0,0.003451694773843883,1.0,0.0007730587474499284
116,51.0,0.0033138837267472354,1.0,0.007068452462729913
117,59.0,0.0038303919799034247,1.0,0.0006957528727049578
118,40.0,0.0026629625070881957,1.0,0.0006261775854344842
119,22.0,0.001484583663398098,1.0,0.006361607216456955
120,133.0,0.008516722709799751,1.0,0.0005635598268910469
121,23.0,0.0015514125821312064,1.0,0.005725446494811215
122,38.0,0.0024938136054402094,1.0,0.0005072038442019977
123,25.0,0.0016159761137544137,1.0,0.005152901845330127
124,40.0,0.0025678162499218615,1.0,0.00045648345978177574
125,56.0,0.0035087070152144406,1.0,0.004637611660797125
126,18.0,0.0012761680524704389,1.0,0.00041083511380357596
127,82.0,0.005077110000399898,1.0,0.004173850494717413
128,35.0,0.0024341584124840665,1.0,0.00036975160242325167
129,69.0,0.004224946895561743,1.0,0.0003327764421808821
130,22.0,0.0014524906798101256,1.0,0.0037564654452456603
131,48.0,0.002965391681669871,1.0,0.0002994987979627606
132,53.0,0.0032549836627993045,1.0,0.003380818900721061
133,54.0,0.0034290409030859337,1.0,0.0002695489181664401
134,96.0,0.006431056342449892,1.0,0.0002425940263497406
135,9.0,0.0005923987202152148,1.0,0.0030427370106489438
136,47.0,0.0029770961815529517,1.0,0.00021833462371478873
137,18.0,0.001173092940547349,1.0,0.0027384633095840494
138,114.0,0.007207328980257444,1.0,0.0024646169786256555
139,13.0,0.0008612246531356504,1.0,0.00019650116134328766
140,102.0,0.006514120535200618,1.0,0.002218155280763079
141,7.0,0.0004832825760843207,1.0,0.00017685104520892558
142,48.0,0.003031087906833818,1.0,0.00015916594068798862
143,40.0,0.00253345787925241,1.0,0.00199633975268676
144,42.0,0.002655411216835546,1.0,0.00014324934661913424
145,89.0,0.00628191835997427,1.0,0.00012892441195722082
146,10.0,0.0007317200253282863,1.0,0.001796705777418084
147,89.0,0.005801278735475535,1.0,0.0016170351996762644
148,15.0,0.0010503844739560009,1.0,0.00011603197076148764
149,36.0,0.0024485058639527324,1.0,0.0014553316797086824
150,40.0,0.0025602649596692117,1.0,0.00010442877368532777
151,81.0,0.0062320798443238345,1.0,9.39858963168172e-05
152,44.0,0.0034260203869678207,1.0,0.0013097985117378474
153,31.0,0.002127953592804488,1.0,8.458730668514658e-05
154,74.0,0.004724842310196209,1.0,7.612857601668743e-05
155,16.0,0.0011270300699948166,1.0,0.0011788186605640183
156,47.0,0.0030643135839341085,1.0,6.85157184150409e-05
157,34.0,0.002288040946126557,1.0,0.0010609367945075832
158,65.0,0.0041214942191061255,1.0,6.16641465734924e-05
159,53.0,0.0033444664522619405,1.0,0.0009548431150567804
160,37.0,0.0025783880562926242,1.0,5.549773191615426e-05
161,26.0,0.0017375518868050221,1.0,0.0008593588035511468
162,64.0,0.004126780122305718,1.0,4.9947958724594343e-05
163,68.0,0.0044360054580749875,1.0,0.0007734229231960432
164,30.0,0.0028898787791433733,1.0,4.495316285213491e-05
165,95.0,0.006081809168335894,1.0,4.045784656692142e-05
166,11.0,0.0007826912345194614,1.0,0.00069608063087645
167,49.0,0.003161725228181922,1.0,3.641206191018487e-05
168,65.0,0.004198139815144941,1.0,0.000626472567788805
169,43.0,0.0027286587322805644,1.0,3.277085571917748e-05
