episode,length,time,reward,delta
0,500.0,0.0356500188404425,0.0,0.0
1,500.0,0.032819417689779584,0.0,0.0
2,500.0,0.03934788567653413,0.0,0.0
3,500.0,0.03791767130292101,0.0,0.0
4,500.0,0.04417164988899458,0.0,0.0
5,500.0,0.043731032102868994,0.0,0.0
6,349.0,0.025803136352919864,1.0,1.0
7,500.0,0.037300353324894786,0.0,0.0
8,500.0,0.035489553922616324,0.0,0.0
9,500.0,0.032835652963854045,0.0,0.0
10,500.0,0.03267556561047513,0.0,0.0
11,500.0,0.03343824592593592,0.0,0.0
12,500.0,0.032548326369692404,0.0,0.0
13,500.0,0.03213564835755278,0.0,0.0
14,500.0,0.03220625292135537,0.0,0.0
15,500.0,0.03238031016167042,0.0,0.0
16,500.0,0.03300253647842055,0.0,0.0
17,500.0,0.03257211293407636,0.0,0.0
18,500.0,0.03317093025100348,0.0,0.0
19,500.0,0.03221191638908749,0.0,0.0
20,500.0,0.03398873498520061,0.0,0.0
21,500.0,0.032942126156399354,0.0,0.0
22,500.0,0.03264724827204191,0.0,0.0
23,500.0,0.031602149701257076,0.0,0.0
24,500.0,0.0324241076451699,0.0,0.0
25,500.0,0.03242448520961716,0.0,0.0
26,500.0,0.032586460385573446,0.0,0.0
27,500.0,0.03184228073121176,0.0,0.0
28,500.0,0.03181018774773747,0.0,0.0
29,500.0,0.03192043658543753,0.0,0.0
30,500.0,0.03246903782212485,0.0,0.0
31,500.0,0.03201029693934743,0.0,0.0
32,500.0,0.031940825069114,0.0,0.0
33,500.0,0.03161460933017679,0.0,0.0
34,500.0,0.032131495147837086,0.0,0.0
35,500.0,0.03138731549370277,0.0,0.0
36,500.0,0.03453469327041603,0.0,0.0
37,500.0,0.03216094517995316,0.0,0.0
38,500.0,0.03152663679873058,0.0,0.0
39,500.0,0.03361909932743856,0.0,0.0
40,500.0,0.03211488230931536,0.0,0.0
41,500.0,0.032069574567799464,0.0,0.0
42,500.0,0.03269557652970434,0.0,0.0
43,500.0,0.031872108327775095,0.0,0.0
44,500.0,0.03176790052225442,0.0,0.0
45,500.0,0.032217579856705925,0.0,0.0
46,500.0,0.032174159937881086,0.0,0.0
47,500.0,0.033732746245732415,0.0,0.0
48,500.0,0.03179508516723217,0.0,0.0
49,500.0,0.031540606685780403,0.0,0.0
50,500.0,0.03207297264839326,0.0,0.0
51,500.0,0.034481079109582424,0.0,0.0
52,500.0,0.03210431050297302,0.0,0.0
53,500.0,0.03226892863051489,0.0,0.0
54,500.0,0.03220096701829789,0.0,0.0
55,500.0,0.03263441107867493,0.0,0.0
56,500.0,0.032775620206393796,0.0,0.0
57,500.0,0.03272049578754377,0.0,0.0
58,500.0,0.03199670461697224,0.0,0.0
59,500.0,0.03187512884392163,0.0,0.0
60,500.0,0.032973464010979114,0.0,0.0
61,500.0,0.03222626384058458,0.0,0.0
62,500.0,0.03207372777740147,0.0,0.0
63,500.0,0.032336135113723685,0.0,0.0
64,500.0,0.03225533630802602,0.0,0.0
65,500.0,0.03231952227520196,0.0,0.0
66,500.0,0.0314450828640247,0.0,0.0
67,500.0,0.03174675690968343,0.0,0.0
68,500.0,0.031723725474307685,0.0,0.0
69,500.0,0.030925176530331555,0.0,0.0
70,500.0,0.03135295712297648,0.0,0.0
71,500.0,0.03166633566843302,0.0,0.0
72,500.0,0.03180792236071284,0.0,0.0
73,500.0,0.03484505129972604,0.0,0.0
74,500.0,0.032401453774355105,0.0,0.0
75,500.0,0.03212885219636519,0.0,0.0
76,500.0,0.037701704401683855,0.0,0.0
77,500.0,0.03320528862161609,0.0,0.0
78,500.0,0.03210544319654218,0.0,0.0
