params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.9354349580941346,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",2.953105354846457,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",2.965041679346541,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",2.9789998618113884,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",3.0594056228417514,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",3.0969846187768724,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6}",3.108753682197886,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7}",3.2052104657862515,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8}",2.1481865198897196,100,0.024999999999999994,0.025,0.025,0.025,6.938893903907228e-18
"{""discount_factor"": 0.9}",2.2109739880704637,100,0.024999999999999994,0.025,0.025,0.025,6.938893903907228e-18
