params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.228923027433069,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",2.2338668571605496,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",2.266354018079312,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",2.298581792177913,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",2.2954480067236744,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",2.2894152809419808,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6}",2.372286915803869,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7}",1.260559535505024,100,0.033333333333333326,0.03333333333333333,0.03333333333333333,0.03333333333333333,6.938893903907228e-18
"{""discount_factor"": 0.8}",1.2818564394005136,100,0.033333333333333326,0.03333333333333333,0.03333333333333333,0.03333333333333333,6.938893903907228e-18
"{""discount_factor"": 0.9}",1.3369487652507814,100,0.033333333333333326,0.03333333333333333,0.03333333333333333,0.03333333333333333,6.938893903907228e-18
