params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",1.5912494138310933,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",0.4347534541489466,100,0.125,0.125,0.125,0.125,0.0
"{""discount_factor"": 0.2}",0.45573773462801626,100,0.125,0.125,0.125,0.125,0.0
"{""discount_factor"": 0.3}",0.45378459340454924,100,0.125,0.125,0.125,0.125,0.0
"{""discount_factor"": 0.4}",0.444536905798401,100,0.125,0.125,0.125,0.125,0.0
"{""discount_factor"": 0.5}",0.4446467770715685,100,0.125,0.125,0.125,0.125,0.0
"{""discount_factor"": 0.6}",0.49544694954303736,100,0.125,0.125,0.125,0.125,0.0
"{""discount_factor"": 0.7}",0.4389648087220479,100,0.125,0.125,0.125,0.125,0.0
"{""discount_factor"": 0.8}",0.45371814205034866,100,0.125,0.125,0.125,0.125,0.0
"{""discount_factor"": 0.9}",0.45359014768058614,100,0.125,0.125,0.125,0.125,0.0
