episode,length,time,reward,delta
0,468.0,0.03178036015128782,1.0,0.9999579022834056
1,56.0,0.003694091190936888,1.0,0.0999957902283406
2,65.0,0.004451863167560077,1.0,0.009999579022834104
3,56.0,0.0036782334814233764,1.0,0.000999957902283466
4,27.0,0.0018685667726003885,1.0,9.999579022834659e-05
5,16.0,0.0010847428445686091,1.0,9.999579022812455e-06
6,13.0,0.0009080426525542862,1.0,9.99957902259041e-07
7,13.0,0.0008453669436221389,1.0,9.999579031472194e-08
8,10.0,0.0006641359775585443,1.0,9.999578942654352e-09
9,9.0,0.0006059910426756687,1.0,9.999578942654352e-10
10,19.0,0.0013210982294822315,1.0,9.999578942654352e-11
11,8.0,0.0006007051395044982,1.0,9.99955673819386e-12
12,18.0,0.0012731475364944345,1.0,9.99866855977416e-13
13,14.0,0.0009582587329077796,1.0,9.992007221626409e-14
14,25.0,0.001710367241912536,1.0,9.992007221626409e-15
15,13.0,0.0008967157173174201,1.0,8.881784197001252e-16
16,24.0,0.0016084248234164988,1.0,0.0
17,15.0,0.0010182914904817153,1.0,0.0
18,28.0,0.001847800724362969,1.0,0.0
19,14.0,0.0009556157810948207,1.0,0.0
20,12.0,0.0007792931539825076,1.0,0.0
21,15.0,0.0010273530388076324,1.0,0.0
22,28.0,0.001878761014495467,1.0,0.0
23,14.0,0.001083987715674084,1.0,0.0
24,16.0,0.0010839877154467104,1.0,0.0
25,9.0,0.0006078788651393552,1.0,0.0
26,13.0,0.0009027567493831157,1.0,0.0
27,11.0,0.000743802089800738,1.0,0.0
28,10.0,0.0007188828319613094,1.0,0.0
29,11.0,0.0007808034119989316,1.0,0.0
30,23.0,0.001563117082014287,1.0,0.0
31,13.0,0.0009038894431796507,1.0,0.0
32,11.0,0.0007826912346899917,1.0,0.0
33,14.0,0.0009654324587700103,1.0,0.0
34,20.0,0.001385661761105439,1.0,0.0
35,8.0,0.0005501114947037422,1.0,0.0
36,35.0,0.0022744486236661032,1.0,0.0
37,15.0,0.0010326389417514292,1.0,0.0
38,23.0,0.0016080472589692363,1.0,0.0
39,9.0,0.0006611154615256964,1.0,0.0
40,14.0,0.0009597689909242035,1.0,0.0
41,30.0,0.0019761726587148587,1.0,0.0
42,8.0,0.0006365737683609041,1.0,0.0
43,9.0,0.0007675886540710053,1.0,0.0
44,15.0,0.0010024337809682038,1.0,0.0
45,10.0,0.0007071783320498071,1.0,0.0
46,16.0,0.0010598235867291805,1.0,0.0
47,8.0,0.0005448255915325717,1.0,0.0
48,11.0,0.0007709867345511157,1.0,0.0
49,10.0,0.0007211482190996321,1.0,0.0
50,7.0,0.0005418050754997239,1.0,0.0
51,11.0,0.0008336624437106366,1.0,0.0
52,13.0,0.0011323159731091437,1.0,0.0
53,7.0,0.0006864122838123876,1.0,0.0
54,10.0,0.0007977938150816044,1.0,0.0
55,15.0,0.0011693172955347109,1.0,0.0
56,17.0,0.0013063732133105077,1.0,0.0
57,11.0,0.0007842014924790419,1.0,0.0
58,10.0,0.0007657008313799452,1.0,0.0
59,14.0,0.0010794569413974386,1.0,0.0
60,8.0,0.0006033480908627098,1.0,0.0
61,13.0,0.0009110631688145077,1.0,0.0
62,14.0,0.000977892087348664,1.0,0.0
63,8.0,0.00056634676889189,1.0,0.0
64,30.0,0.0020022246101234487,1.0,0.0
65,9.0,0.000663758412883908,1.0,0.0
66,9.0,0.0006611154615256964,1.0,0.0
67,12.0,0.0008363053952962218,1.0,0.0
68,8.0,0.0006007051395044982,1.0,0.0
69,7.0,0.00048290501172232325,1.0,0.0
70,8.0,0.0005429377690688852,1.0,0.0
71,18.0,0.0012531366171515401,1.0,0.0
72,11.0,0.0007849566216009407,1.0,0.0
73,15.0,0.0010337716353205906,1.0,0.0
74,9.0,0.0006618705904202216,1.0,0.0
75,7.0,0.00048441526973874716,1.0,0.0
76,14.0,0.0009367375555484614,1.0,0.0
77,12.0,0.0007849566216009407,1.0,0.0
78,11.0,0.0007275668156125903,1.0,0.0
79,7.0,0.00048328257594221213,1.0,0.0
80,14.0,0.0009548606522002956,1.0,0.0
81,15.0,0.001091161441308941,1.0,0.0
82,13.0,0.0008955830237482587,1.0,0.0
83,12.0,0.0008347951372797979,1.0,0.0
84,17.0,0.0011338262313529412,1.0,0.0
85,20.0,0.0013799982932596322,1.0,0.0
86,8.0,0.0005421826399469865,1.0,0.0
87,16.0,0.0010787018122755399,1.0,0.0
88,13.0,0.0009038894431796507,1.0,0.0
89,17.0,0.0011319384086618811,1.0,0.0
90,12.0,0.0008472547663131991,1.0,0.0
91,17.0,0.0012421872463619366,1.0,0.0
92,17.0,0.0011923487306830793,1.0,0.0
93,16.0,0.0010726607802098442,1.0,0.0
94,18.0,0.0011934814242522407,1.0,0.0
95,18.0,0.0011938589886995032,1.0,0.0
96,13.0,0.0008955830239756324,1.0,0.0
97,12.0,0.0010247100872220472,1.0,0.0
98,11.0,0.0007203930899777333,1.0,0.0
99,8.0,0.0005402948174833,1.0,0.0
100,9.0,0.0006648911064530694,1.0,0.0
101,11.0,0.0007762726379496598,1.0,0.0
102,15.0,0.0010198017484981392,1.0,0.0
103,9.0,0.0006630032839893829,1.0,0.0
104,7.0,0.000522549285506102,1.0,0.0
105,9.0,0.0006414821068574383,1.0,0.0
106,14.0,0.000938247813792259,1.0,0.0
107,14.0,0.0009563709104440932,1.0,0.0
108,16.0,0.0010817223285357613,1.0,0.0
109,10.0,0.0007169950092702493,1.0,0.0
110,12.0,0.0008434791211584525,1.0,0.0
111,10.0,0.0007158623157010879,1.0,0.0
112,15.0,0.0010130055870831711,1.0,0.0
113,13.0,0.000894450330406471,1.0,0.0
114,9.0,0.0005999500103825994,1.0,0.0
115,11.0,0.0007815585408934567,1.0,0.0
116,18.0,0.0012512487946878537,1.0,0.0
117,11.0,0.0007774053312914475,1.0,0.0
118,11.0,0.0007415367026624153,1.0,0.0
119,9.0,0.000600327574829862,1.0,0.0
120,13.0,0.0008385707824345445,1.0,0.0
121,12.0,0.0007785380248606089,1.0,0.0
122,12.0,0.001065109489900351,1.0,0.0
123,13.0,0.001537065130605697,1.0,0.0
124,7.0,0.000664891106680443,1.0,0.0
125,11.0,0.000940513200703208,1.0,0.0
126,13.0,0.0008940727657318348,1.0,0.0
127,9.0,0.0006731975258844614,1.0,0.0
128,13.0,0.0009129509912781941,1.0,0.0
129,13.0,0.0008959605884228949,1.0,0.0
130,25.0,0.0016669473229740106,1.0,0.0
131,13.0,0.0008944503301790974,1.0,0.0
132,10.0,0.0007177501383921481,1.0,0.0
133,13.0,0.0009337170395156136,1.0,0.0
134,14.0,0.0010892736186178809,1.0,0.0
135,15.0,0.0011504390697609779,1.0,0.0
136,17.0,0.0012761680522999086,1.0,0.0
137,13.0,0.0008952054593009962,1.0,0.0
138,19.0,0.0013078834715543053,1.0,0.0
139,9.0,0.0005984397525935492,1.0,0.0
140,14.0,0.0009642997649734752,1.0,0.0
141,8.0,0.0005391621241415123,1.0,0.0
142,9.0,0.0006135423329851619,1.0,0.0
143,8.0,0.0006573398163709498,1.0,0.0
144,15.0,0.0010160261033433926,1.0,0.0
145,16.0,0.001092671699325365,1.0,0.0
146,9.0,0.0006244917037747655,1.0,0.0
147,14.0,0.0012312378753449593,1.0,0.0
148,15.0,0.0010299959903932177,1.0,0.0
149,18.0,0.001257289826980923,1.0,0.0
150,11.0,0.0007611700573306734,1.0,0.0
151,12.0,0.0008351727017270605,1.0,0.0
152,15.0,0.001017158796912554,1.0,0.0
153,20.0,0.0014064278093428584,1.0,0.0
154,24.0,0.001602006226676167,1.0,0.0
155,10.0,0.0006577173808182124,1.0,0.0
156,10.0,0.0007600373637615121,1.0,0.0
157,8.0,0.0005984397523661755,1.0,0.0
158,10.0,0.0007604149284361483,1.0,0.0
159,15.0,0.0010990902960656967,1.0,0.0
160,12.0,0.0008363053952962218,1.0,0.0
161,8.0,0.0007894873958775861,1.0,0.0
162,11.0,0.0009004913624721667,1.0,0.0
163,13.0,0.0009035118785050145,1.0,0.0
