steps,time,reward,delta,converged
1,0.025707612531277846,0.0026246719160104987,1.0,False
2,0.0035951692887010722,0.017857142857142856,1.0,False
3,0.0010673748770386737,0.0625,1.0,False
4,0.005663467688464152,0.011111111111111112,1.0,False
5,0.0042944187659941235,0.014492753623188406,1.0,False
6,0.0017960743862204254,0.03333333333333333,1.0,False
7,0.0032202477275404817,0.019230769230769232,1.0,False
8,0.0013358232454265817,0.047619047619047616,1.0,False
9,0.0008608470886883879,0.07692307692307693,1.0,False
10,0.0004462812537440186,0.16666666666666666,1.0,False
11,0.0008034572827000375,0.08333333333333333,1.0,False
12,0.0008461220727440377,0.07692307692307693,1.0,False
13,0.0011432653438987472,0.05555555555555555,1.0,False
14,0.0006067461715701938,0.1111111111111111,1.0,False
15,0.0005482236722400557,0.1111111111111111,1.0,False
16,0.0014139790996523516,0.047619047619047616,1.0,False
17,0.001322986051945918,0.058823529411764705,1.0,False
18,0.00042778059287229553,0.16666666666666666,1.0,False
19,0.0009631670716316876,0.06666666666666667,1.0,False
20,0.000545958285101733,0.125,1.0,False
21,0.0004878133502188575,0.125,1.0,False
22,0.0008831233947148576,0.07692307692307693,1.0,False
23,0.0010681300061605725,0.058823529411764705,1.0,False
24,0.0007891098312029499,0.07692307692307693,1.0,False
25,0.000806477798960259,0.07692307692307693,1.0,False
26,0.0008132739599204797,0.125,1.0,False
27,0.0004889460437880189,0.14285714285714285,1.0,False
28,0.0012059410530582682,0.05263157894736842,1.0,False
29,0.000732097589661862,0.09090909090909091,1.0,False
30,0.000429668415335982,0.16666666666666666,1.0,False
31,0.0007313424609947106,0.08333333333333333,1.0,False
32,0.0003726561740222678,0.16666666666666666,1.0,False
33,0.0012557795687371254,0.05263157894736842,1.0,False
34,0.00037227860934763157,0.16666666666666666,1.0,False
35,0.0010054542970010516,0.0625,1.0,False
36,0.00041796391542447964,0.16666666666666666,1.0,False
37,0.00037303373846953036,0.16666666666666666,1.0,False
38,0.0007811809766735678,0.09090909090909091,1.0,False
39,0.000635441074564369,0.1111111111111111,1.0,False
40,0.00043231136692156724,0.14285714285714285,1.0,False
41,0.0007071783320498071,0.09090909090909091,1.0,False
42,0.001094937086236314,0.05555555555555555,1.0,False
43,0.0007868444440646272,0.07692307692307693,1.0,False
44,0.0005293454466936964,0.125,1.0,False
45,0.0007668335251764802,0.09090909090909091,1.0,False
46,0.000429668415335982,0.14285714285714285,1.0,False
47,0.0006890552353979729,0.125,1.0,False
48,0.000598062187918913,0.1111111111111111,1.0,False
49,0.00037076835133120767,0.16666666666666666,1.0,False
50,0.0004647819148431154,0.125,1.0,False
51,0.0007672110893963691,0.09090909090909091,1.0,False
52,0.0007128417996682401,0.1,1.0,False
53,0.0004651594795177516,0.125,1.0,False
54,0.0007623027508998348,0.07692307692307693,1.0,False
55,0.0008408361693454935,0.07142857142857142,1.0,False
56,0.000410790189562249,0.14285714285714285,1.0,False
57,0.0007713642992257519,0.08333333333333333,1.0,False
58,0.0004844152695113735,0.125,1.0,False
59,0.000542560204394249,0.1111111111111111,1.0,False
60,0.0008457445080694015,0.07692307692307693,1.0,False
61,0.0007834463635845168,0.1,1.0,False
62,0.0005467134142236318,0.125,1.0,False
63,0.0006652686711277056,0.1,1.0,False
64,0.0007271892511653277,0.08333333333333333,1.0,False
65,0.00042929085066134576,0.14285714285714285,1.0,False
66,0.000664891106680443,0.1,1.0,False
67,0.0008778374915436871,0.07692307692307693,1.0,False
68,0.00048743578577159496,0.125,1.0,False
69,0.0007864668796173646,0.07692307692307693,1.0,False
70,0.0008038348471473,0.07692307692307693,1.0,False
71,0.00042778059264492185,0.16666666666666666,1.0,False
72,0.0007985489439761295,0.09090909090909091,1.0,False
73,0.0004889460437880189,0.125,1.0,False
74,0.0009624119425097888,0.06666666666666667,1.0,False
75,0.0009012464915940654,0.07142857142857142,1.0,False
76,0.0006075013006920926,0.1,1.0,False
77,0.00048554796308053483,0.14285714285714285,1.0,False
78,0.0006048583491065074,0.1111111111111111,1.0,False
79,0.0009288087007917056,0.07142857142857142,1.0,False
80,0.0012040532305945817,0.05263157894736842,1.0,False
81,0.0005512441885002772,0.125,1.0,False
82,0.0006112769458468392,0.1,1.0,False
83,0.0006112769458468392,0.1,1.0,False
84,0.001537065130605697,0.07692307692307693,1.0,False
85,0.0006867898482596502,0.1,1.0,False
86,0.0006482782680450327,0.1,1.0,False
87,0.0004296684151086083,0.14285714285714285,1.0,False
88,0.0008608470886883879,0.07692307692307693,1.0,False
89,0.0005621935592898808,0.125,1.0,False
90,0.0004885684791133826,0.125,1.0,False
91,0.0006075013006920926,0.1,1.0,False
92,0.0006807488161939546,0.1,1.0,False
93,0.0006799936870720558,0.1,1.0,False
94,0.0004281581573195581,0.14285714285714285,1.0,False
95,0.00048063962458400056,0.14285714285714285,1.0,False
96,0.0007385161864021939,0.09090909090909091,1.0,False
97,0.0009824228616253095,0.06666666666666667,1.0,False
