episode,length,time,reward,delta
0,380.0,0.025695908031366343,1.0,1.0
1,55.0,0.003587617998391579,1.0,0.09999999999999998
2,15.0,0.0010598235867291805,1.0,0.010000000000000009
3,89.0,0.005656293962829295,1.0,1.0
4,68.0,0.004287245040131893,1.0,0.0010000000000000009
5,29.0,0.001789278225032831,1.0,9.999999999998899e-05
6,51.0,0.0032134515663528873,1.0,9.99999999995449e-06
7,20.0,0.0013286495197917247,1.0,1.0000000000287557e-06
8,12.0,0.0008540509272734198,1.0,1.0000000005838672e-07
9,5.0,0.00043910752810916165,1.0,1.0000000050247593e-08
10,11.0,0.0007959059926179179,1.0,9.999999717180685e-10
11,12.0,0.0008389483468818071,1.0,1.000000082740371e-10
12,17.0,0.0011360916182638903,1.0,1.000000082740371e-11
13,8.0,0.0005995724459353369,1.0,9.999778782798785e-13
14,8.0,0.0005410499466051988,1.0,1.000310945187266e-13
15,20.0,0.0014064278093428584,1.0,9.992007221626409e-15
16,16.0,0.0013158123260836874,1.0,9.992007221626409e-16
17,5.0,0.0004206068670100649,1.0,1.1102230246251565e-16
18,14.0,0.0009559933459968306,1.0,0.0
19,7.0,0.0005387845594668761,1.0,0.0
20,7.0,0.0004806396243566269,1.0,0.0
21,12.0,0.0008763272335272632,1.0,0.0
22,16.0,0.0010609562802983419,1.0,0.0
23,12.0,0.0007819361053407192,1.0,0.0
24,12.0,0.0007993040730980283,1.0,0.0
25,7.0,0.0008057226696109865,1.0,0.0
26,6.0,0.00048177231792578823,1.0,0.0
27,18.0,0.0011987673274234112,1.0,0.0
28,10.0,0.000724923864027005,1.0,0.0
29,5.0,0.00042249468947375135,1.0,0.0
30,11.0,0.0007241687351324799,1.0,0.0
31,5.0,0.00036548244816003717,1.0,0.0
32,18.0,0.0012486058431022684,1.0,0.0
33,5.0,0.0003651048837127746,1.0,0.0
34,15.0,0.000998280571138821,1.0,0.0
35,5.0,0.00041079018978962267,1.0,0.0
36,5.0,0.0003658600126072997,1.0,0.0
37,10.0,0.0007740072508113371,1.0,0.0
38,8.0,0.0006282673489295121,1.0,0.0
39,6.0,0.0004251376410593366,1.0,0.0
40,10.0,0.0007000046064149501,1.0,0.0
41,17.0,0.001087763360601457,1.0,0.0
42,12.0,0.0007796707184297702,1.0,0.0
