steps,time,reward,delta,converged
1,0.0011066415862899248,2.0,1.0,False
2,0.0010005459582771437,3.8,0.9,False
3,0.0010179139258639225,6.23,0.81,False
4,0.0011749807630963005,8.417000000000002,0.7290000000000001,False
5,0.0012606879074326116,11.041400000000001,0.6561000000000001,False
6,0.0010077196840256875,13.934801000000004,0.5904900000000002,False
7,0.0010107402001438004,16.969329110000007,0.5314410000000002,False
8,0.0010832325865521852,19.269937199000005,0.47829690000000014,False
9,0.0010107402001153787,21.297437758100003,0.43046721000000016,False
10,0.0010167812323231828,23.509608750290003,0.38742048900000015,False
11,0.0010198017484412958,25.500562643261002,0.34867844010000015,False
12,0.0010141382807375976,26.441994431531,0.31381059609000017,False
13,0.0010303735547836368,27.006853504493,0.28242953648100017,False
14,0.0010103626356112727,27.261040087325902,0.25418658283290013,False
15,0.0010341491999099617,27.261040087325902,0,True
