steps,time,reward,delta,converged
1,0.0019716418845945327,2.0,1.0,False
2,0.0022665197688951366,3.8,0.9,False
3,0.0023560025583719835,6.23,0.81,False
4,0.002084156109333435,8.417,0.7290000000000001,False
5,0.0018949962885415061,9.7292,0.6561000000000001,False
6,0.00203205220660152,10.910180000000004,0.5904900000000002,False
7,0.001902170014275839,12.504503000000003,0.5314410000000002,False
8,0.0019138745141731306,14.757281399000004,0.47829690000000014,False
9,0.002032807335623943,17.447270994290005,0.43046721000000016,False
10,0.0019274668366193737,18.779610055961005,0.38742048900000015,False
11,0.0019252014495378944,19.912466307845904,0.31381059609000017,False
12,0.0019255790140562112,20.649607398061313,0.25418658283290013,False
13,0.001905945659402164,21.084266454705574,0.22876792454961012,False
14,0.0018999046271943598,21.475459605685405,0.2058911320946491,False
15,0.0018848020467032711,21.827533441567258,0.1853020188851842,False
16,0.001833830837512096,22.55115635551579,0.16677181699666577,False
17,0.002504007847306866,23.12513325035504,0.13508517176729928,False
18,0.0018338308374978851,23.312239721769927,0.0984770902183612,False
19,0.0018874449982888564,23.480635546043324,0.08862938119652508,False
20,0.0019418142881022504,23.711958230966257,0.07976644307687257,False
21,0.0019176501592994555,23.920148647396893,0.07178979876918531,False
22,0.001940304030043194,24.0429092032922,0.06461081889226679,False
23,0.0019153847722179762,24.153393703597978,0.05814973700304011,False
24,0.0018625257404636386,24.252829753873176,0.0523347633027361,False
25,0.002113606141321611,24.342322199120854,0.04710128697246249,False
26,0.0019085886109877492,24.342322199120854,0,True
